provider,region,instance,cost
aws,US East (Ohio),m5dn.16xlarge,4.352
aws,US East (Ohio),m5dn.24xlarge,6.528
aws,US East (Ohio),m5n.large,0.119
aws,US East (Ohio),m5n.xlarge,0.238
aws,US East (Ohio),m5n.2xlarge,0.476
aws,US East (Ohio),m5n.4xlarge,0.952
aws,US East (Ohio),m5n.8xlarge,1.904
aws,US East (Ohio),m5n.12xlarge,2.856
aws,US East (Ohio),m5n.16xlarge,3.808
aws,US East (Ohio),m5n.24xlarge,5.712
aws,US East (Ohio),m4.large,0.1
aws,US East (Ohio),m4.xlarge,0.2
aws,US East (Ohio),m4.2xlarge,0.4
aws,US East (Ohio),m4.4xlarge,0.8
aws,US East (Ohio),m4.10xlarge,2.0
aws,US East (Ohio),m4.16xlarge,3.2
aws,US East (Ohio),c6g.medium,0.034
aws,US East (Ohio),c6g.large,0.068
aws,US East (Ohio),c6g.xlarge,0.136
aws,US East (Ohio),c6g.2xlarge,0.272
aws,US East (Ohio),c6g.4xlarge,0.544
aws,US East (Ohio),c6g.8xlarge,1.088
aws,US East (Ohio),c6g.12xlarge,1.632
aws,US East (Ohio),c6g.16xlarge,2.176
aws,US East (Ohio),c6g.metal,2.176
aws,US East (Ohio),c5.large,0.085
aws,US East (Ohio),c5.xlarge,0.17
aws,US East (Ohio),c5.2xlarge,0.34
aws,US East (Ohio),c5.4xlarge,0.68
aws,US East (Ohio),c5.9xlarge,1.53
aws,US East (Ohio),c5.12xlarge,2.04
aws,US East (Ohio),c5.18xlarge,3.06
aws,US East (Ohio),c5.24xlarge,4.08
aws,US East (Ohio),c5.metal,4.08
aws,US East (Ohio),c5a.large,0.077
aws,US East (Ohio),c5a.xlarge,0.154
aws,US East (Ohio),c5a.2xlarge,0.308
aws,US East (Ohio),c5a.4xlarge,0.616
aws,US East (Ohio),c5a.8xlarge,1.232
aws,US East (Ohio),c5a.12xlarge,1.848
aws,US East (Ohio),c5a.16xlarge,2.464
aws,US East (Ohio),c5a.24xlarge,3.696
aws,US East (Ohio),c5d.large,0.096
aws,US East (Ohio),c5d.xlarge,0.192
aws,US East (Ohio),c5d.2xlarge,0.384
aws,US East (Ohio),c5d.4xlarge,0.768
aws,US East (Ohio),c5d.9xlarge,1.728
aws,US East (Ohio),c5d.12xlarge,2.304
aws,US East (Ohio),c5d.18xlarge,3.456
aws,US East (Ohio),c5d.24xlarge,4.608
aws,US East (Ohio),c5d.metal,4.608
aws,US East (Ohio),c5n.large,0.108
aws,US East (Ohio),c5n.xlarge,0.216
aws,US East (Ohio),c5n.2xlarge,0.432
aws,US East (Ohio),c5n.4xlarge,0.864
aws,US East (Ohio),c5n.9xlarge,1.944
aws,US East (Ohio),c5n.18xlarge,3.888
aws,US East (Ohio),c5n.metal,3.888
aws,US East (Ohio),c4.large,0.1
aws,US East (Ohio),c4.xlarge,0.199
aws,US East (Ohio),c4.2xlarge,0.398
aws,US East (Ohio),c4.4xlarge,0.796
aws,US East (Ohio),c4.8xlarge,1.591
aws,US East (Ohio),p3.2xlarge,3.06
aws,US East (Ohio),p3.8xlarge,12.24
aws,US East (Ohio),p3.16xlarge,24.48
aws,US East (Ohio),p3dn.24xlarge,31.212
aws,US East (Ohio),p2.xlarge,0.9
aws,US East (Ohio),p2.8xlarge,7.2
aws,US East (Ohio),p2.16xlarge,14.4
aws,US East (Ohio),g4dn.xlarge,0.526
aws,US East (Ohio),g4dn.2xlarge,0.752
aws,US East (Ohio),g4dn.4xlarge,1.204
aws,US East (Ohio),g4dn.8xlarge,2.176
aws,US East (Ohio),g4dn.12xlarge,3.912
aws,US East (Ohio),g4dn.16xlarge,4.352
aws,US East (Ohio),g4dn.metal,7.824
aws,US East (Ohio),g3.4xlarge,1.14
aws,US East (Ohio),g3.8xlarge,2.28
aws,US East (Ohio),g3.16xlarge,4.56
aws,US East (Ohio),g3s.xlarge,0.75
aws,US East (Ohio),x1.16xlarge,6.669
aws,US East (Ohio),x1.32xlarge,13.338
aws,US East (Ohio),x1e.xlarge,0.834
aws,US East (Ohio),x1e.2xlarge,1.668
aws,US East (Ohio),x1e.4xlarge,3.336
aws,US East (Ohio),x1e.8xlarge,6.672
aws,US East (Ohio),x1e.16xlarge,13.344
aws,US East (Ohio),x1e.32xlarge,26.688
aws,US East (Ohio),r6g.medium,0.0504
aws,US East (Ohio),r6g.large,0.1008
aws,US East (Ohio),r6g.xlarge,0.2016
aws,US East (Ohio),r6g.2xlarge,0.4032
aws,US East (Ohio),r6g.4xlarge,0.8064
aws,US East (Ohio),r6g.8xlarge,1.6128
aws,US East (Ohio),r6g.12xlarge,2.4192
aws,US East (Ohio),r6g.16xlarge,3.2256
aws,US East (Ohio),r6g.metal,3.2256
aws,US East (Ohio),r5.large,0.126
aws,US East (Ohio),r5.xlarge,0.252
aws,US East (Ohio),r5.2xlarge,0.504
aws,US East (Ohio),r5.4xlarge,1.008
aws,US East (Ohio),r5.8xlarge,2.016
aws,US East (Ohio),r5.12xlarge,3.024
aws,US East (Ohio),r5.16xlarge,4.032
aws,US East (Ohio),r5.24xlarge,6.048
aws,US East (Ohio),r5.metal,6.048
aws,US East (Ohio),r5a.large,0.113
aws,US East (Ohio),r5a.xlarge,0.226
aws,US East (Ohio),r5a.2xlarge,0.452
aws,US East (Ohio),r5a.4xlarge,0.904
aws,US East (Ohio),r5a.8xlarge,1.808
aws,US East (Ohio),r5a.12xlarge,2.712
aws,US East (Ohio),r5a.16xlarge,3.616
aws,US East (Ohio),r5a.24xlarge,5.424
aws,US East (Ohio),r5ad.large,0.131
aws,US East (Ohio),r5ad.xlarge,0.262
aws,US East (Ohio),r5ad.2xlarge,0.524
aws,US East (Ohio),r5ad.4xlarge,1.048
aws,US East (Ohio),r5ad.12xlarge,3.144
aws,US East (Ohio),r5ad.24xlarge,6.288
aws,US East (Ohio),r5d.large,0.144
aws,US East (Ohio),r5d.xlarge,0.288
aws,US East (Ohio),r5d.2xlarge,0.576
aws,US East (Ohio),r5d.4xlarge,1.152
aws,US East (Ohio),r5d.8xlarge,2.304
aws,US East (Ohio),r5d.12xlarge,3.456
aws,US East (Ohio),r5d.16xlarge,4.608
aws,US East (Ohio),r5d.24xlarge,6.912
aws,US East (Ohio),r5d.metal,6.912
aws,US East (Ohio),r5dn.large,0.167
aws,US East (Ohio),r5dn.xlarge,0.334
aws,US East (Ohio),r5dn.2xlarge,0.668
aws,US East (Ohio),r5dn.4xlarge,1.336
aws,US East (Ohio),r5dn.8xlarge,2.672
aws,US East (Ohio),r5dn.12xlarge,4.008
aws,US East (Ohio),r5dn.16xlarge,5.344
aws,US East (Ohio),r5dn.24xlarge,8.016
aws,US East (Ohio),r5n.large,0.149
aws,US East (Ohio),r5n.xlarge,0.298
aws,US East (Ohio),r5n.2xlarge,0.596
aws,US East (Ohio),r5n.4xlarge,1.192
aws,US East (Ohio),r5n.8xlarge,2.384
aws,US East (Ohio),r5n.12xlarge,3.576
aws,US East (Ohio),r5n.16xlarge,4.768
aws,US East (Ohio),r5n.24xlarge,7.152
aws,US East (Ohio),r4.large,0.133
aws,US East (Ohio),r4.xlarge,0.266
aws,US East (Ohio),r4.2xlarge,0.532
aws,US East (Ohio),r4.4xlarge,1.064
aws,US East (Ohio),r4.8xlarge,2.128
aws,US East (Ohio),r4.16xlarge,4.256
aws,US East (Ohio),z1d.large,0.186
aws,US East (Ohio),z1d.xlarge,0.372
aws,US East (Ohio),z1d.2xlarge,0.744
aws,US East (Ohio),z1d.3xlarge,1.116
aws,US East (Ohio),z1d.6xlarge,2.232
aws,US East (Ohio),z1d.12xlarge,4.464
aws,US East (Ohio),z1d.metal,4.464
aws,US East (Ohio),i3.large,0.156
aws,US East (Ohio),i3.xlarge,0.312
aws,US East (Ohio),i3.2xlarge,0.624
aws,US East (Ohio),i3.4xlarge,1.248
aws,US East (Ohio),i3.8xlarge,2.496
aws,US East (Ohio),i3.16xlarge,4.992
aws,US East (Ohio),i3.metal,4.992
aws,US East (Ohio),i3en.large,0.226
aws,US East (Ohio),i3en.xlarge,0.452
aws,US East (Ohio),i3en.2xlarge,0.904
aws,US East (Ohio),i3en.3xlarge,1.356
aws,US East (Ohio),i3en.6xlarge,2.712
aws,US East (Ohio),i3en.12xlarge,5.424
aws,US East (Ohio),i3en.24xlarge,10.848
aws,US East (Ohio),i3en.metal,10.848
aws,US East (Ohio),h1.2xlarge,0.468
aws,US East (Ohio),h1.4xlarge,0.936
aws,US East (Ohio),h1.8xlarge,1.872
aws,US East (Ohio),h1.16xlarge,3.744
aws,US East (Ohio),d2.xlarge,0.69
aws,US East (Ohio),d2.2xlarge,1.38
aws,US East (Ohio),d2.4xlarge,2.76
aws,US East (Ohio),d2.8xlarge,5.52
aws,US East (N. Virginia),a1.medium,0.0255
aws,US East (N. Virginia),a1.large,0.051
aws,US East (N. Virginia),a1.xlarge,0.102
aws,US East (N. Virginia),a1.2xlarge,0.204
aws,US East (N. Virginia),a1.4xlarge,0.408
aws,US East (N. Virginia),a1.metal,0.408
aws,US East (N. Virginia),t3.nano,0.0052
aws,US East (N. Virginia),t3.micro,0.0104
aws,US East (N. Virginia),t3.small,0.0208
aws,US East (N. Virginia),t3.medium,0.0416
aws,US East (N. Virginia),t3.large,0.0832
aws,US East (N. Virginia),t3.xlarge,0.1664
aws,US East (N. Virginia),t3.2xlarge,0.3328
aws,US East (N. Virginia),t3a.nano,0.0047
aws,US East (N. Virginia),t3a.micro,0.0094
aws,US East (N. Virginia),t3a.small,0.0188
aws,US East (N. Virginia),t3a.medium,0.0376
aws,US East (N. Virginia),t3a.large,0.0752
aws,US East (N. Virginia),t3a.xlarge,0.1504
aws,US East (N. Virginia),t3a.2xlarge,0.3008
aws,US East (N. Virginia),t2.nano,0.0058
aws,US East (N. Virginia),t2.micro,0.0116
aws,US East (N. Virginia),t2.small,0.023
aws,US East (N. Virginia),t2.medium,0.0464
aws,US East (N. Virginia),t2.large,0.0928
aws,US East (N. Virginia),t2.xlarge,0.1856
aws,US East (N. Virginia),t2.2xlarge,0.3712
aws,US East (N. Virginia),m6g.medium,0.0385
aws,US East (N. Virginia),m6g.large,0.077
aws,US East (N. Virginia),m6g.xlarge,0.154
aws,US East (N. Virginia),m6g.2xlarge,0.308
aws,US East (N. Virginia),m6g.4xlarge,0.616
aws,US East (N. Virginia),m6g.8xlarge,1.232
aws,US East (N. Virginia),m6g.12xlarge,1.848
aws,US East (N. Virginia),m6g.16xlarge,2.464
aws,US East (N. Virginia),m6g.metal,2.464
aws,US East (N. Virginia),m5.large,0.096
aws,US East (N. Virginia),m5.xlarge,0.192
aws,US East (N. Virginia),m5.2xlarge,0.384
aws,US East (N. Virginia),m5.4xlarge,0.768
aws,US East (N. Virginia),m5.8xlarge,1.536
aws,US East (N. Virginia),m5.12xlarge,2.304
aws,US East (N. Virginia),m5.16xlarge,3.072
aws,US East (N. Virginia),m5.24xlarge,4.608
aws,US East (N. Virginia),m5.metal,4.608
aws,US East (N. Virginia),m5a.large,0.086
aws,US East (N. Virginia),m5a.xlarge,0.172
aws,US East (N. Virginia),m5a.2xlarge,0.344
aws,US East (N. Virginia),m5a.4xlarge,0.688
aws,US East (N. Virginia),m5a.8xlarge,1.376
aws,US East (N. Virginia),m5a.12xlarge,2.064
aws,US East (N. Virginia),m5a.16xlarge,2.752
aws,US East (N. Virginia),m5a.24xlarge,4.128
aws,US East (N. Virginia),m5ad.large,0.103
aws,US East (N. Virginia),m5ad.xlarge,0.206
aws,US East (N. Virginia),m5ad.2xlarge,0.412
aws,US East (N. Virginia),m5ad.4xlarge,0.824
aws,US East (N. Virginia),m5ad.12xlarge,2.472
aws,US East (N. Virginia),m5ad.24xlarge,4.944
aws,US East (N. Virginia),m5d.large,0.113
aws,US East (N. Virginia),m5d.xlarge,0.226
aws,US East (N. Virginia),m5d.2xlarge,0.452
aws,US East (N. Virginia),m5d.4xlarge,0.904
aws,US East (N. Virginia),m5d.8xlarge,1.808
aws,US East (N. Virginia),m5d.12xlarge,2.712
aws,US East (N. Virginia),m5d.16xlarge,3.616
aws,US East (N. Virginia),m5d.24xlarge,5.424
aws,US East (N. Virginia),m5d.metal,5.424
aws,US East (N. Virginia),m5dn.large,0.136
aws,US East (N. Virginia),m5dn.xlarge,0.272
aws,US East (N. Virginia),m5dn.2xlarge,0.544
aws,US East (N. Virginia),m5dn.4xlarge,1.088
aws,US East (N. Virginia),m5dn.8xlarge,2.176
aws,US East (N. Virginia),m5dn.12xlarge,3.264
aws,US East (N. Virginia),m5dn.16xlarge,4.352
aws,US East (N. Virginia),m5dn.24xlarge,6.528
aws,US East (N. Virginia),m5n.large,0.119
aws,US East (N. Virginia),m5n.xlarge,0.238
aws,US East (N. Virginia),m5n.2xlarge,0.476
aws,US East (N. Virginia),m5n.4xlarge,0.952
aws,US East (N. Virginia),m5n.8xlarge,1.904
aws,US East (N. Virginia),m5n.12xlarge,2.856
aws,US East (N. Virginia),m5n.16xlarge,3.808
aws,US East (N. Virginia),m5n.24xlarge,5.712
aws,US East (N. Virginia),m4.large,0.1
aws,US East (N. Virginia),m4.xlarge,0.2
aws,US East (N. Virginia),m4.2xlarge,0.4
aws,US East (N. Virginia),m4.4xlarge,0.8
aws,US East (N. Virginia),m4.10xlarge,2.0
aws,US East (N. Virginia),m4.16xlarge,3.2
aws,US East (N. Virginia),c6g.medium,0.034
aws,US East (N. Virginia),c6g.large,0.068
aws,US East (N. Virginia),c6g.xlarge,0.136
aws,US East (N. Virginia),c6g.2xlarge,0.272
aws,US East (N. Virginia),c6g.4xlarge,0.544
aws,US East (N. Virginia),c6g.8xlarge,1.088
aws,US East (N. Virginia),c6g.12xlarge,1.632
aws,US East (N. Virginia),c6g.16xlarge,2.176
aws,US East (N. Virginia),c6g.metal,2.176
aws,US East (N. Virginia),c5.large,0.085
aws,US East (N. Virginia),c5.xlarge,0.17
aws,US East (N. Virginia),c5.2xlarge,0.34
aws,US East (N. Virginia),c5.4xlarge,0.68
aws,US East (N. Virginia),c5.9xlarge,1.53
aws,US East (N. Virginia),c5.12xlarge,2.04
aws,US East (N. Virginia),c5.18xlarge,3.06
aws,US East (N. Virginia),c5.24xlarge,4.08
aws,US East (N. Virginia),c5.metal,4.08
aws,US East (N. Virginia),c5a.large,0.077
aws,US East (N. Virginia),c5a.xlarge,0.154
aws,US East (N. Virginia),c5a.2xlarge,0.308
aws,US East (N. Virginia),c5a.4xlarge,0.616
aws,US East (N. Virginia),c5a.8xlarge,1.232
aws,US East (N. Virginia),c5a.12xlarge,1.848
aws,US East (N. Virginia),c5a.16xlarge,2.464
aws,US East (N. Virginia),c5a.24xlarge,3.696
aws,US East (N. Virginia),c5d.large,0.096
aws,US East (N. Virginia),c5d.xlarge,0.192
aws,US East (N. Virginia),c5d.2xlarge,0.384
aws,US East (N. Virginia),c5d.4xlarge,0.768
aws,US East (N. Virginia),c5d.9xlarge,1.728
aws,US East (N. Virginia),c5d.12xlarge,2.304
aws,US East (N. Virginia),c5d.18xlarge,3.456
aws,US East (N. Virginia),c5d.24xlarge,4.608
aws,US East (N. Virginia),c5d.metal,4.608
aws,US East (N. Virginia),c5n.large,0.108
aws,US East (N. Virginia),c5n.xlarge,0.216
aws,US East (N. Virginia),c5n.2xlarge,0.432
aws,US East (N. Virginia),c5n.4xlarge,0.864
aws,US East (N. Virginia),c5n.9xlarge,1.944
aws,US East (N. Virginia),c5n.18xlarge,3.888
aws,US East (N. Virginia),c5n.metal,3.888
aws,US East (N. Virginia),c4.large,0.1
aws,US East (N. Virginia),c4.xlarge,0.199
aws,US East (N. Virginia),c4.2xlarge,0.398
aws,US East (N. Virginia),c4.4xlarge,0.796
aws,US East (N. Virginia),c4.8xlarge,1.591
aws,US East (N. Virginia),p3.2xlarge,3.06
aws,US East (N. Virginia),p3.8xlarge,12.24
aws,US East (N. Virginia),p3.16xlarge,24.48
aws,US East (N. Virginia),p2.xlarge,0.9
aws,US East (N. Virginia),p2.8xlarge,7.2
aws,US East (N. Virginia),p2.16xlarge,14.4
aws,US East (N. Virginia),g4dn.xlarge,0.526
aws,US East (N. Virginia),g4dn.2xlarge,0.752
aws,US East (N. Virginia),g4dn.4xlarge,1.204
aws,US East (N. Virginia),g4dn.8xlarge,2.176
aws,US East (N. Virginia),g4dn.12xlarge,3.912
aws,US East (N. Virginia),g4dn.16xlarge,4.352
aws,US East (N. Virginia),g3.4xlarge,1.14
aws,US East (N. Virginia),g3.8xlarge,2.28
aws,US East (N. Virginia),g3.16xlarge,4.56
aws,US East (N. Virginia),g3s.xlarge,0.75
aws,US East (N. Virginia),x1.16xlarge,6.669
aws,US East (N. Virginia),x1.32xlarge,13.338
aws,US East (N. Virginia),x1e.xlarge,0.834
aws,US East (N. Virginia),x1e.2xlarge,1.668
aws,US East (N. Virginia),x1e.4xlarge,3.336
aws,US East (N. Virginia),x1e.8xlarge,6.672
aws,US East (N. Virginia),x1e.16xlarge,13.344
aws,US East (N. Virginia),x1e.32xlarge,26.688
aws,US East (N. Virginia),r6g.medium,0.0504
aws,US East (N. Virginia),r6g.large,0.1008
aws,US East (N. Virginia),r6g.xlarge,0.2016
aws,US East (N. Virginia),r6g.2xlarge,0.4032
aws,US East (N. Virginia),r6g.4xlarge,0.8064
aws,US East (N. Virginia),r6g.8xlarge,1.6128
aws,US East (N. Virginia),r6g.12xlarge,2.4192
aws,US East (N. Virginia),r6g.16xlarge,3.2256
aws,US East (N. Virginia),r6g.metal,3.2256
aws,US East (N. Virginia),r5.large,0.126
aws,US East (N. Virginia),r5.xlarge,0.252
aws,US East (N. Virginia),r5.2xlarge,0.504
aws,US East (N. Virginia),r5.4xlarge,1.008
aws,US East (N. Virginia),r5.8xlarge,2.016
aws,US East (N. Virginia),r5.12xlarge,3.024
aws,US East (N. Virginia),r5.16xlarge,4.032
aws,US East (N. Virginia),r5.24xlarge,6.048
aws,US East (N. Virginia),r5.metal,6.048
aws,US East (N. Virginia),r5a.large,0.113
aws,US East (N. Virginia),r5a.xlarge,0.226
aws,US East (N. Virginia),r5a.2xlarge,0.452
aws,US East (N. Virginia),r5a.4xlarge,0.904
aws,US East (N. Virginia),r5a.8xlarge,1.808
aws,US East (N. Virginia),r5a.12xlarge,2.712
aws,US East (N. Virginia),r5a.16xlarge,3.616
aws,US East (N. Virginia),r5a.24xlarge,5.424
aws,US East (N. Virginia),r5ad.large,0.131
aws,US East (N. Virginia),r5ad.xlarge,0.262
aws,US East (N. Virginia),r5ad.2xlarge,0.524
aws,US East (N. Virginia),r5ad.4xlarge,1.048
aws,US East (N. Virginia),r5ad.12xlarge,3.144
aws,US East (N. Virginia),r5ad.24xlarge,6.288
aws,US East (N. Virginia),r5d.large,0.144
aws,US East (N. Virginia),r5d.xlarge,0.288
aws,US East (N. Virginia),r5d.2xlarge,0.576
aws,US East (N. Virginia),r5d.4xlarge,1.152
aws,US East (N. Virginia),r5d.8xlarge,2.304
aws,US East (N. Virginia),r5d.12xlarge,3.456
aws,US East (N. Virginia),r5d.16xlarge,4.608
aws,US East (N. Virginia),r5d.24xlarge,6.912
aws,US East (N. Virginia),r5d.metal,6.912
aws,US East (N. Virginia),r5dn.large,0.167
aws,US East (N. Virginia),r5dn.xlarge,0.334
aws,US East (N. Virginia),r5dn.2xlarge,0.668
aws,US East (N. Virginia),r5dn.4xlarge,1.336
aws,US East (N. Virginia),r5dn.8xlarge,2.672
aws,US East (N. Virginia),r5dn.12xlarge,4.008
aws,US East (N. Virginia),r5dn.16xlarge,5.344
aws,US East (N. Virginia),r5dn.24xlarge,8.016
aws,US East (N. Virginia),r5n.large,0.149
aws,US East (N. Virginia),r5n.xlarge,0.298
aws,US East (N. Virginia),r5n.2xlarge,0.596
aws,US East (N. Virginia),r5n.4xlarge,1.192
aws,US East (N. Virginia),r5n.8xlarge,2.384
aws,US East (N. Virginia),r5n.12xlarge,3.576
aws,US East (N. Virginia),r5n.16xlarge,4.768
aws,US East (N. Virginia),r5n.24xlarge,7.152
aws,US East (N. Virginia),r4.large,0.133
aws,US East (N. Virginia),r4.xlarge,0.266
aws,US East (N. Virginia),r4.2xlarge,0.532
aws,US East (N. Virginia),r4.4xlarge,1.064
aws,US East (N. Virginia),r4.8xlarge,2.128
aws,US East (N. Virginia),r4.16xlarge,4.256
aws,US East (N. Virginia),z1d.large,0.186
aws,US East (N. Virginia),z1d.xlarge,0.372
aws,US East (N. Virginia),z1d.2xlarge,0.744
aws,US East (N. Virginia),z1d.3xlarge,1.116
aws,US East (N. Virginia),z1d.6xlarge,2.232
aws,US East (N. Virginia),z1d.12xlarge,4.464
aws,US East (N. Virginia),z1d.metal,4.464
aws,US East (N. Virginia),i3.large,0.156
aws,US East (N. Virginia),i3.xlarge,0.312
aws,US East (N. Virginia),i3.2xlarge,0.624
aws,US East (N. Virginia),i3.4xlarge,1.248
aws,US East (N. Virginia),i3.8xlarge,2.496
aws,US East (N. Virginia),i3.16xlarge,4.992
aws,US East (N. Virginia),i3.metal,4.992
aws,US East (N. Virginia),i3en.large,0.226
aws,US East (N. Virginia),i3en.xlarge,0.452
aws,US East (N. Virginia),i3en.2xlarge,0.904
aws,US East (N. Virginia),i3en.3xlarge,1.356
aws,US East (N. Virginia),i3en.6xlarge,2.712
aws,US East (N. Virginia),i3en.12xlarge,5.424
aws,US East (N. Virginia),i3en.24xlarge,10.848
aws,US East (N. Virginia),i3en.metal,10.848
aws,US East (N. Virginia),h1.2xlarge,0.468
aws,US East (N. Virginia),h1.4xlarge,0.936
aws,US East (N. Virginia),h1.8xlarge,1.872
aws,US East (N. Virginia),h1.16xlarge,3.744
aws,US East (N. Virginia),d2.xlarge,0.69
aws,US East (N. Virginia),d2.2xlarge,1.38
aws,US East (N. Virginia),d2.4xlarge,2.76
aws,US East (N. Virginia),d2.8xlarge,5.52
aws,US West (Los Angeles),t3.nano,0.0062
aws,US West (Los Angeles),t3.micro,0.0125
aws,US West (Los Angeles),t3.small,0.025
aws,US West (Los Angeles),t3.medium,0.0499
aws,US West (Los Angeles),t3.large,0.0998
aws,US West (Los Angeles),t3.xlarge,0.1997
aws,US West (Los Angeles),t3.2xlarge,0.3994
aws,US West (Los Angeles),m5.large,0.115
aws,US West (Los Angeles),m5.xlarge,0.23
aws,US West (Los Angeles),m5.2xlarge,0.461
aws,US West (Los Angeles),m5.4xlarge,0.922
aws,US West (Los Angeles),m5.8xlarge,1.843
aws,US West (Los Angeles),m5.12xlarge,2.765
aws,US West (Los Angeles),m5.16xlarge,3.686
aws,US West (Los Angeles),m5.24xlarge,5.53
aws,US West (Los Angeles),m5.metal,5.53
aws,US West (Los Angeles),c5.large,0.102
aws,US West (Los Angeles),c5.xlarge,0.204
aws,US West (Los Angeles),c5.2xlarge,0.408
aws,US West (Los Angeles),c5.4xlarge,0.816
aws,US West (Los Angeles),c5.9xlarge,1.836
aws,US West (Los Angeles),c5.12xlarge,2.448
aws,US West (Los Angeles),c5.18xlarge,3.672
aws,US West (Los Angeles),c5.24xlarge,4.896
aws,US West (Los Angeles),c5.metal,4.896
aws,US West (Los Angeles),g4dn.xlarge,0.631
aws,US West (Los Angeles),g4dn.2xlarge,0.902
aws,US West (Los Angeles),g4dn.4xlarge,1.445
aws,US West (Los Angeles),g4dn.8xlarge,2.611
aws,US West (Los Angeles),g4dn.12xlarge,4.694
aws,US West (Los Angeles),g4dn.16xlarge,5.222
aws,US West (Los Angeles),r5.large,0.151
aws,US West (Los Angeles),r5.xlarge,0.302
aws,US West (Los Angeles),r5.2xlarge,0.605
aws,US West (Los Angeles),r5.4xlarge,1.21
aws,US West (Los Angeles),r5.8xlarge,2.419
aws,US West (Los Angeles),r5.12xlarge,3.629
aws,US West (Los Angeles),r5.16xlarge,4.838
aws,US West (Los Angeles),r5.24xlarge,7.258
aws,US West (Los Angeles),r5.metal,7.258
aws,US West (Los Angeles),r5d.large,0.173
aws,US West (Los Angeles),r5d.xlarge,0.346
aws,US West (Los Angeles),r5d.2xlarge,0.691
aws,US West (Los Angeles),r5d.4xlarge,1.382
aws,US West (Los Angeles),r5d.8xlarge,2.765
aws,US West (Los Angeles),r5d.12xlarge,4.147
aws,US West (Los Angeles),r5d.16xlarge,5.53
aws,US West (Los Angeles),r5d.24xlarge,8.294
aws,US West (Los Angeles),r5d.metal,8.294
